name,image,description
"Krave Cherry Pork Jerky, 16 Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSKGhczjmG6mYYsyMp33phtJRuO15IOMZLVHWMfEoM8WbmKZ8jcux1jaQuY3Oo0VG7V3HkYj8pRag&usqp=CAk,"Gluten-free. No nitrites. Low-fat. No artificial ingredients. Minimally processed. Heed the roar of the boar with tender slices of pork infused with our sweet and peppery, Sonoma-style, black cherry barbecue sauce. It's pork without the fork!"
"Kind Bars Nut & Spices Variety, 18 ct",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRsWIk9VsD24t4myqdARxAHHb2p2AB-xW-y4sC1pzHc0fXE9thge_4cQSzkvII&usqp=CAk,"Kind Bars Nut & Spices Variety, 18 ct"
"Turkey Perky Jerky, Original Flavor, 14 Oz",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcShuJe0Hif6zdEuQ9aQZFkUdMe4fG6rjYjzrZmaGA6LPV-FTfZyTm0pJZuaqw&usqp=CAk,"Gluten Free, All Natural, Preservatives"
"Boudin Sourdough Jalapeno Cheddar Crisps, 22 oz",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRI2e5ZnnBW3Gwh6TxRZpkm72VB5vY6pditFFJVg8GNrPKGwTYICRy9nttGGA4&usqp=CAk,"Boudin Sourdough Jalapeno Cheddar Crisps, 22 oz"
Boom Chickapop Kettle Corn 23 Ounce Bag,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSqMRFx_AzYtxLikUzyv4CAQwBq5Evlh9YeZye5ZNBgqSD9Sxpl7FXAqIQe55Y&usqp=CAk,Boom Chickapop Kettle Corn 23 Ounce Bag
"Sunshine Cheez-Its, 48-Ounces",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQv56-OK0li24yTWGl8KxvCB1rxmw9CQENotxnstDppaRtQ6tbTLrGi6GUj-yoh5Zj_GWFqOFB_&usqp=CAk,"Features: Baked Cheddar CrackersMade with 100% real cheeseTwo 24oz. Bags2 Bags per box1 Box Model: KEB 827695 Specifications Brand: Cheez-ItCase Count: 2Model: KEB 827695Package Quantity (Weight): 24 oz."
Nature Valley Oats 'n Honey 49 Count 2 Bars/Pack,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRms6Xma8faS28GKk0PFkcX5Qq0EcWSiQNxkEV6lo0TjpbtiB2pRCU-FAiysSOpFArLsdfSeTEMtw&usqp=CAk,"Crunchy Oats 'N Honey Granola Bars16g Whole grain per servingMade with 100% Natural whole grain oats1.5 oz Bars2 Bars per package49 Packages per box98 Total bars Model: GNM 827622 Specifications Brand: Nature ValleyCase Count: 98Package Size: 3 oz."
"Pacific Gold Teriyaki Beef Jerky, 2 Pack 8 Ounces Each",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ8WzJvqIk-nCu4SuAf2uY1x8QiPZ5Li4ec4mzBXFCYJgHRjQqBPa-LPf7BCw2xlP_jIm0sqqLWqw&usqp=CAk,Pacific Gold Beef Jerky - Teriyaki - 2 count - 8 oz bag each
Frito Lay Variety Pack 54 Count Box,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQKmSJZSMoSrI_EYgxuI9zRZHKhSryd64XiwsOzZAM_4WLh-3T1IFe7ohTPARE&usqp=CAk,Frito Lay Variety Pack 54 Count Box
"Frito Lay Classic Mix, 30-Bags, 1.75-Ounces",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSDECc__NAigCEWO7IGS4J-d5NDtf00L-78zqtPlHNqOSiA4DknPFyr3KNXwuixyVTmGLyw0ELJ&usqp=CAk,null
"Kirkland Signature, Organic Nuts & Berries 28 Oz",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQJda3_V--tGw4aNBy6fPFpc9mM6W7kiLHsNN98tyZORlKrAsnUt5DW1Ab84iI&usqp=CAk,"Kirkland Signature, Organic Nuts & Berries 28 Oz"
"Kirkland Signature Crumbled Bacon, 20-Ounces",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTGDaLzvkXx0YYsNzo9CwtwLoiNsvWYjnVDiQueWivSBjZQk2Wj&usqp=CAk,"Naturally Smoked. Kirkland Signature Bacon Crumbles are created using the same great recipe as our refrigerated Kirkland Signature Bacon. First, high-quality, fresh pork is slowly smoked over all-natural hardwood chips. Then it is sliced, cooked and broken into pieces - giving you the convenience of freshly prepared bacon crumbles any time. Enjoy over salads, on baked potatoes or in your favorite pasta dish. Made in USA."
Tropical Fields Crispy Coconut Rolls 9.3 Ounce Bag,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTtTKTApzYGQirFle8xI45_OSuXoJhLMKbQ6ZVid-38yc9NtTX8YOE8ZNQgVw&usqp=CAk,Tropical Fields Crispy Coconut Rolls 9.3 Ounce Bag
